window_size, encoding_size, encoder_count, epoch, 100x_avg_loss
2, 1, 1, 156, 1.4634981314290543
2, 1, 2, 104, 1.4621632515775913
2, 1, 4, 116, 1.4623167715510543
2, 1, 8, 125, 1.4649471458123655
4, 2, 1, 128, 1.0776248437409497
4, 2, 2, 146, 2.429415604897908
4, 2, 4, 106, 1.3369782713755054
4, 2, 8, 53, 1.3174895862383502
8, 4, 1, 90, 0.8886358244534659
8, 4, 2, 46, 1.1470296363137207
8, 4, 4, 45, 1.15170935548994
8, 4, 8, 29, 1.6661237165027738
16, 8, 1, 35, 1.2330014695774536
16, 8, 2, 40, 1.4137194643975521
16, 8, 4, 32, 1.8786382652362998
16, 8, 8, 19, 2.881114625809144
